Team Name,Player ID,Player Name,Position,Jersey
Mara Sugar,894,Daniel Wafula,Midfielder,0
Mara Sugar,252,Dennis Cheruyiot,Forward,20
Mara Sugar,749,Timothy Ndayala,Forward,7
Mara Sugar,822,David Omondi,Forward,23
Mathare United,33,Daniel Odiwuor,Goalkeeper,1
Mathare United,272,Robert Mboya,Goalkeeper,31
Mathare United,558,Kevin Ouru,Goalkeeper,16
Mathare United,262,Sammy Imbuye,Defender,23
Mathare United,264,Cetric Asango,Defender,15
Mathare United,265,Ronack Otieno,Defender,26
Mathare United,273,Fidel Otieno,Defender,2
Mathare United,274,Francis Kayugi,Defender,24
Mathare United,282,Dennis Ng'ang'a,Defender,4
Mathare United,315,Daglas Mokaya,Defender,17
Mathare United,364,Michael Oduor,Defender,29
Mathare United,750,Adams Nyambane,Defender,0
Mathare United,766,Dennis Mukoye,Defender,0
Mathare United,18,John Macharia,Midfielder,10
Mathare United,111,Musa Masika Wanyama,Midfielder,18
Mathare United,266,Ian Omondi,Midfielder,28
Mathare United,267,Brian Ochieng,Midfielder,19
Mathare United,268,Brian Ouru,Midfielder,13
Mathare United,269,Elli Asieche,Midfielder,17
Mathare United,271,Donald Ange,Midfielder,26
Mathare United,276,John Nyawir,Midfielder,7
Mathare United,278,Steve Kimari,Midfielder,12
Mathare United,281,Mohamed Kilume,Midfielder,14
Mathare United,283,Hillary Kiprotich,Midfielder,20
Mathare United,503,Bilal Atano Otieno,Midfielder,0
Mathare United,611,Alex Warai Ng'ang'a,Midfielder,8
Mathare United,695,Isaac Omweri,Midfielder,3
Mathare United,768,Glenn Odhiambo,Midfielder,10
Mathare United,886,Harrison Amalemba,Midfielder,9
Mathare United,887,Benson Shikutwa,Midfielder,26
Mathare United,280,Paul Kinyanjui,Forward,27
Mathare United,470,Dennis Okoth,Forward,21
Mathare United,549,John Mark Makwatta,Forward,30
Muranga Seal,439,Wilson Mwangi Ngamau,Goalkeeper,1
Muranga Seal,791,Erick Ongiri,Goalkeeper,32
Muranga Seal,918,Theophillus Magina,Goalkeeper,0
Muranga Seal,285,Dennis Munyovi,Defender,33
Muranga Seal,288,Joseph Omulama,Defender,3
Muranga Seal,440,Robert Mudenyu Odhiambo,Defender,15
Muranga Seal,702,Davis Omiko Nyabeka,Defender,25
Muranga Seal,740,Paul Njuguna Ngugi,Defender,13
Muranga Seal,828,Thadeas Pkemoi,Defender,30
Muranga Seal,919,Robby Mangi,Defender,0
Muranga Seal,68,Geoffrey Shiveka Lemu,Midfielder,6
Muranga Seal,178,Tony Musa,Midfielder,50
Muranga Seal,179,Price Musebe,Midfielder,7
Muranga Seal,185,Francis Siololo Memusi,Midfielder,13
Muranga Seal,290,Lucas Maina,Midfielder,24
Muranga Seal,291,Nicholas Omondi,Midfielder,14
Muranga Seal,292,Joseph Irungu Waithira,Midfielder,71
Muranga Seal,297,Ally Yusuf,Midfielder,6
Muranga Seal,299,Elly Saenyi,Midfielder,11
Muranga Seal,442,Dennis Odhiambo,Midfielder,3
Muranga Seal,606,Levis Wanjala,Midfielder,14
Muranga Seal,689,Mark Mwaniki,Midfielder,3
Muranga Seal,790,Jackson Imbiakha,Midfielder,4
Muranga Seal,792,Michael Macharia Wairimu,Midfielder,8
Muranga Seal,827,Paul Osama,Midfielder,20
Muranga Seal,829,Telvin Maina,Midfielder,88
Muranga Seal,834,Michael Otieno Aloo,Midfielder,12
Muranga Seal,293,Victor Haki Akwanyi,Forward,99
Muranga Seal,294,John Kiplangat,Forward,10
Muranga Seal,301,Michael Owen Pala,Forward,5
Posta Rangers,313,Fredrick Odhiambo Otinda,Goalkeeper,1
Posta Rangers,520,John Njau,Goalkeeper,13
Posta Rangers,531,Kevin Opiyo,Goalkeeper,34
Posta Rangers,598,Bixente Lizarazu Otieno,Goalkeeper,77
